learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.10000,0.001,50, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.42, 1.81,
0.10000,0.001,50, 1024,15, 51.98, 96.24, 13.43, 23.57, 52.68, 96.24, 13.60, 23.84,1.42, 1.53,
0.10000,0.001,50, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.42, 1.53,
0.10000,0.001,50, 2056,10, 92.45, 16.02, 53.00, 24.60, 92.68, 17.41, 58.14, 26.80,1.35, 1.44,
0.10000,0.001,50, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.51,
0.10000,0.001,50, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.52,
0.10000,0.000, 5,  512,10, 89.70, 12.12, 20.86, 15.33, 89.53, 12.53, 20.50, 15.56,0.15, 0.17,
0.10000,0.000, 5,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.19,
0.10000,0.000, 5,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.16,
0.10000,0.000, 5, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.16,
0.10000,0.000, 5, 1024,15,  8.24,100.00,  7.74, 14.36,  8.40, 99.86,  7.74, 14.36,0.15, 0.17,
0.10000,0.000, 5, 1024,20,  9.20, 99.86,  7.80, 14.47,  9.33, 99.58,  7.79, 14.46,0.16, 0.18,
0.10000,0.000, 5, 2056,10, 13.58, 99.86,  8.16, 15.09, 14.13, 99.58,  8.19, 15.14,0.16, 0.17,
0.10000,0.000, 5, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.14, 0.17,
0.10000,0.000, 5, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.17,
0.10000,0.000,10,  512,10,  7.78,100.00,  7.70, 14.30,  7.76,100.00,  7.70, 14.30,0.30, 0.31,
0.10000,0.000,10,  512,15,  8.06, 99.86,  7.71, 14.32,  8.04, 99.72,  7.70, 14.30,0.29, 0.32,
0.10000,0.000,10,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.32,
0.10000,0.000,10, 1024,10, 16.53, 99.03,  8.37, 15.44, 16.77, 98.89,  8.38, 15.45,0.27, 0.32,
0.10000,0.000,10, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.30,
0.10000,0.000,10, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.38,
0.10000,0.000,10, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.37,
0.10000,0.000,10, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.58,
0.10000,0.000,10, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.63,
0.10000,0.000,20,  512,10, 92.31,  0.42, 50.00,  0.83, 92.31,  0.00,  0.00,  0.00,0.58, 1.29,
0.10000,0.000,20,  512,15, 87.54, 25.21, 22.43, 23.74, 87.23, 24.51, 21.31, 22.80,0.58, 1.22,
0.10000,0.000,20,  512,20, 91.89,  8.64, 38.04, 14.07, 92.04, 10.31, 42.77, 16.61,0.57, 1.28,
0.10000,0.000,20, 1024,10, 77.46, 56.82, 18.53, 27.95, 78.50, 57.24, 19.47, 29.06,0.58, 1.15,
0.10000,0.000,20, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.56, 0.60,
0.10000,0.000,20, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.57, 0.63,
0.10000,0.000,20, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.56, 0.60,
0.10000,0.000,20, 2056,15, 68.57, 55.85, 13.29, 21.47, 68.85, 56.69, 13.55, 21.88,0.57, 0.60,
0.10000,0.000,20, 2056,20, 68.57, 55.85, 13.29, 21.47, 68.85, 56.69, 13.55, 21.88,0.56, 0.60,
0.10000,0.000,50,  512,10, 88.32, 28.55, 26.21, 27.33, 88.12, 27.58, 25.16, 26.31,1.40, 1.50,
0.10000,0.000,50,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.39, 1.50,
0.10000,0.000,50,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.44, 1.52,
0.10000,0.000,50, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.88,
0.10000,0.000,50, 1024,15, 51.98, 96.24, 13.43, 23.57, 52.68, 96.24, 13.60, 23.84,1.40, 1.49,
0.10000,0.000,50, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.41, 1.50,
0.10000,0.000,50, 2056,10, 92.45, 16.02, 53.00, 24.60, 92.68, 17.41, 58.14, 26.80,1.40, 1.52,
0.10000,0.000,50, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.50,
0.10000,0.000,50, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.49,
0.10000,0.000, 5,  512,10, 89.70, 12.12, 20.86, 15.33, 89.53, 12.53, 20.50, 15.56,0.14, 0.16,
0.10000,0.000, 5,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.17, 0.18,
0.10000,0.000, 5,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.18,
0.10000,0.000, 5, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.19,
0.10000,0.000, 5, 1024,15,  8.24,100.00,  7.74, 14.36,  8.40, 99.86,  7.74, 14.36,0.16, 0.18,
0.10000,0.000, 5, 1024,20,  9.20, 99.86,  7.80, 14.47,  9.33, 99.58,  7.79, 14.46,0.15, 0.17,
0.10000,0.000, 5, 2056,10, 13.58, 99.86,  8.16, 15.09, 14.13, 99.58,  8.19, 15.14,0.15, 0.15,
0.10000,0.000, 5, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.14, 0.15,
0.10000,0.000, 5, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.20,
0.10000,0.000,10,  512,10,  7.78,100.00,  7.70, 14.30,  7.76,100.00,  7.70, 14.30,0.29, 0.31,
0.10000,0.000,10,  512,15,  8.06, 99.86,  7.71, 14.32,  8.04, 99.72,  7.70, 14.30,0.30, 0.34,
